status,funding_rounds,funding_total_usd,milestones,relationships,age,success_status,success_binary
operating,,,,,8.58,0,0
operating,,,,2.0,6.67,0,0
operating,,,,1.0,13.0,0,0
operating,,,,3.0,13.0,0,0
operating,,,,,16.0,0,0
operating,2.0,12000000.0,,9.0,9.0,0,0
operating,,,1.0,2.0,1.33,0,0
operating,,,1.0,1.0,14.0,0,0
operating,,,1.0,1.0,3.75,0,0
operating,,,1.0,3.0,6.06,0,0
operating,,,,5.0,9.65,0,0
operating,,,1.0,,7.0,0,0
operating,,,,1.0,6.0,0,0
ipo,,,,3.0,10.0,1,1
acquired,,,,3.0,7.0,1,1
operating,,,1.0,4.0,7.0,0,0
operating,,,,1.0,6.76,0,0
operating,,,1.0,2.0,7.0,0,0
acquired,,,,,93.0,1,1
operating,1.0,,,1.0,11.0,0,0
operating,,,,,2.0,0,0
operating,1.0,300000000.0,1.0,2.0,7.0,0,0
ipo,1.0,1600000.0,,2.0,9.58,1,1
operating,1.0,10500000.0,,3.0,3.0,0,0
operating,1.0,421057.0,,4.0,3.0,0,0
operating,1.0,200000.0,,1.0,3.0,0,0
operating,1.0,1400000.0,,2.0,7.0,0,0
operating,1.0,2450000.0,,2.0,7.0,0,0
operating,,,2.0,2.0,6.33,0,0
operating,,,,1.0,7.0,0,0
operating,4.0,16600000.0,3.0,8.0,6.29,0,0
operating,1.0,2385262.0,,2.0,9.0,0,0
operating,3.0,1805026.0,,3.0,11.0,0,0
operating,1.0,1688500.0,,2.0,8.0,0,0
operating,2.0,1000000.0,2.0,5.0,6.12,0,0
operating,1.0,400000.0,,,6.0,0,0
operating,1.0,2702000.0,,4.0,31.16,0,0
operating,1.0,56700.0,,,5.0,0,0
acquired,,,1.0,9.0,21.0,1,1
operating,1.0,17408.0,,1.0,4.0,0,0
operating,1.0,296487.0,,,34.0,0,0
operating,1.0,20000.0,,1.0,5.0,0,0
operating,,,,,8.0,0,0
operating,3.0,93411658.0,,1.0,7.0,0,0
operating,1.0,150000.0,,2.0,4.0,0,0
operating,1.0,250000.0,,2.0,4.0,0,0
operating,,,,,8.81,0,0
operating,1.0,1450000.0,,1.0,6.0,0,0
operating,,,,1.0,10.91,0,0
operating,1.0,5057487.0,,3.0,6.0,0,0
operating,,,1.0,,45.0,0,0
operating,1.0,597387.0,1.0,7.0,7.0,0,0
operating,1.0,600000.0,1.0,3.0,2.33,0,0
operating,,,,1.0,6.0,0,0
operating,,,,,11.01,0,0
operating,,,,,2.0,0,0
operating,,,,1.0,13.0,0,0
operating,1.0,525000.0,1.0,3.0,2.68,0,0
operating,,,1.0,1.0,2.16,0,0
operating,,,,,7.0,0,0
operating,1.0,200000.0,1.0,2.0,1.54,0,0
operating,,,1.0,1.0,2.0,0,0
operating,,,,,22.0,0,0
operating,,,,,2.0,0,0
operating,,,,2.0,7.0,0,0
operating,1.0,2000000.0,,8.0,7.25,0,0
operating,1.0,500000.0,,,1.33,0,0
operating,,,3.0,2.0,10.41,0,0
operating,,,,1.0,7.0,0,0
operating,,,,3.0,10.0,0,0
operating,,,2.0,2.0,8.0,0,0
operating,,,,,18.0,0,0
operating,,,2.0,4.0,5.0,0,0
operating,2.0,7400000.0,1.0,1.0,14.83,0,0
operating,,,1.0,,10.0,0,0
acquired,,,,1.0,22.0,1,1
operating,,,,,3.5,0,0
operating,4.0,28306508.0,1.0,2.0,36.0,0,0
acquired,,,2.0,8.0,7.0,1,1
operating,1.0,910000.0,,3.0,6.0,0,0
operating,2.0,15778255.0,3.0,20.0,11.0,0,0
operating,,,,,14.0,0,0
operating,,,1.0,1.0,1.33,0,0
operating,2.0,200000.0,2.0,3.0,2.47,0,0
operating,,,1.0,4.0,7.0,0,0
operating,,,1.0,1.0,2.98,0,0
operating,,,1.0,1.0,1.75,0,0
operating,,,,2.0,2.0,0,0
acquired,2.0,51000000.0,1.0,16.0,11.0,1,1
operating,,,,,7.0,0,0
operating,,,,,1.75,0,0
operating,2.0,100000000.0,,,7.0,0,0
acquired,,,,,14.0,1,1
operating,,,,2.0,7.0,0,0
operating,,,,,1.33,0,0
