funding_rounds,funding_total_usd,milestones,relationships,success_binary
0.0,0.0,1.0,9.0,0
3.0,12000000.0,3.0,2.0,1
0.0,0.0,0.0,0.0,0
1.0,22000000.0,0.0,2.0,0
0.0,0.0,2.0,3.0,1
0.0,0.0,0.0,0.0,0
2.0,6700000.0,3.0,7.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,6.0,1
0.0,0.0,0.0,2.0,0
0.0,0.0,3.0,103.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,4.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
4.0,21550000.0,3.0,28.0,1
1.0,0.0,0.0,0.0,0
2.0,2300000.0,3.0,4.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,0.0,2.0,0
1.0,20000.0,1.0,4.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,1.0,1
1.0,700000.0,3.0,11.0,0
0.0,0.0,1.0,1.0,1
0.0,0.0,1.0,4.0,0
2.0,1975000.0,2.0,6.0,1
0.0,0.0,0.0,1.0,0
4.0,108900000.0,2.0,28.0,1
0.0,0.0,0.0,1.0,1
1.0,1000000.0,0.0,1.0,0
0.0,0.0,0.0,4.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,2.0,1.0,0
2.0,600000.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
3.0,32000000.0,1.0,13.0,1
0.0,0.0,0.0,6.0,0
0.0,0.0,3.0,21.0,1
2.0,30600000.0,6.0,31.0,0
0.0,0.0,1.0,2.0,0
1.0,0.0,1.0,3.0,0
3.0,1725000.0,2.0,2.0,0
7.0,19449781.0,1.0,4.0,0
2.0,3400000.0,3.0,4.0,0
1.0,0.0,0.0,0.0,1
1.0,83000.0,0.0,1.0,1
3.0,17000000.0,3.0,12.0,0
1.0,4000000.0,2.0,3.0,1
0.0,0.0,0.0,2.0,1
0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,2.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
2.0,1700000.0,0.0,3.0,0
0.0,0.0,0.0,3.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,4.0,0
0.0,0.0,0.0,3.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,14.0,1
2.0,6000999.0,0.0,9.0,1
1.0,800000.0,2.0,3.0,0
0.0,0.0,1.0,1.0,0
1.0,1000000.0,2.0,13.0,1
2.0,1500000.0,0.0,3.0,0
0.0,0.0,0.0,3.0,0
6.0,125250000.0,5.0,30.0,1
0.0,0.0,1.0,3.0,1
1.0,35000.0,1.0,4.0,1
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,3.0,0
0.0,0.0,1.0,1.0,1
0.0,0.0,1.0,2.0,0
6.0,34700000.0,4.0,37.0,1
4.0,24000000.0,2.0,17.0,1
4.0,4000000.0,2.0,9.0,0
0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,1.0,0
1.0,12000000.0,2.0,19.0,1
3.0,46400000.0,1.0,11.0,0
1.0,22500000.0,1.0,5.0,1
1.0,8800000.0,3.0,15.0,1
4.0,39730000.0,2.0,4.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,7.0,0
3.0,65000000.0,3.0,18.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,2.0,1
0.0,0.0,2.0,5.0,0
3.0,81700000.0,3.0,14.0,0
3.0,45000003.0,2.0,12.0,1
0.0,0.0,1.0,6.0,1
0.0,0.0,2.0,9.0,1
4.0,0.0,1.0,13.0,0
0.0,0.0,0.0,3.0,0
2.0,6080000.0,1.0,7.0,0
0.0,0.0,3.0,1.0,0
1.0,8300000.0,3.0,4.0,0
1.0,1000000.0,2.0,9.0,0
0.0,0.0,1.0,10.0,0
2.0,2000000.0,2.0,4.0,0
0.0,0.0,1.0,6.0,0
1.0,500000.0,0.0,1.0,1
1.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0
2.0,95244796.0,3.0,29.0,1
3.0,149000000.0,3.0,2.0,0
5.0,37800000.0,0.0,12.0,0
0.0,0.0,0.0,3.0,0
0.0,0.0,1.0,1.0,0
1.0,9400000.0,0.0,0.0,0
1.0,11600000.0,1.0,14.0,1
3.0,71000000.0,1.0,18.0,1
0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
1.0,1000000.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0
3.0,9100000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
1.0,0.0,1.0,4.0,0
0.0,0.0,2.0,3.0,1
0.0,0.0,0.0,0.0,0
2.0,200000.0,2.0,1.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0
1.0,0.0,2.0,14.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
2.0,11000000.0,1.0,12.0,0
0.0,0.0,0.0,3.0,0
1.0,4300000.0,2.0,0.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,6.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,1.0,5.0,1
0.0,0.0,1.0,2.0,1
0.0,0.0,1.0,4.0,0
2.0,21827665.0,3.0,4.0,0
0.0,0.0,1.0,1.0,1
0.0,0.0,0.0,66.0,1
0.0,0.0,4.0,2.0,1
0.0,0.0,0.0,4.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,2.0,6.0,1
3.0,14000000.0,2.0,13.0,0
0.0,0.0,1.0,1.0,1
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,12.0,0
0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,1.0,0
1.0,0.0,0.0,3.0,1
2.0,0.0,1.0,4.0,0
0.0,0.0,0.0,0.0,1
1.0,314169.0,0.0,4.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,2.0,7.0,0
2.0,10000000.0,4.0,7.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,2.0,0
3.0,10400001.0,3.0,21.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,4.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,4.0,10.0,1
0.0,0.0,1.0,2.0,1
0.0,0.0,1.0,2.0,1
1.0,0.0,1.0,3.0,1
0.0,0.0,2.0,5.0,1
0.0,0.0,2.0,2.0,0
